ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
15:12:24 23/10/2025,16.5,26.0,39.13,"Bình thường","An toàn"
15:12:29 23/10/2025,93.3,29.3,7.27,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:12:34 23/10/2025,19.4,42.6,28.65,"Bình thường","An toàn"
15:12:39 23/10/2025,49.6,10.7,42.99,"Bình thường","An toàn"
15:12:44 23/10/2025,82.7,46.9,47.88,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:12:49 23/10/2025,4.9,93.5,23.23,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:12:54 23/10/2025,81.5,55.7,37.78,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:12:59 23/10/2025,17.8,76.2,23.66,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:13:04 23/10/2025,39.3,72.6,27.00,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:13:09 23/10/2025,91.4,32.9,30.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:13:14 23/10/2025,81.2,36.0,18.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:13:19 23/10/2025,68.1,75.5,18.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:13:24 23/10/2025,78.4,31.9,11.80,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:13:29 23/10/2025,1.4,34.1,45.23,"Bình thường","An toàn"
15:13:34 23/10/2025,51.2,22.0,25.77,"Bình thường","An toàn"
15:13:39 23/10/2025,58.5,41.7,40.85,"Bình thường","An toàn"
15:13:44 23/10/2025,91.0,67.7,23.50,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:13:49 23/10/2025,5.0,66.0,40.90,"Bình thường","An toàn"
15:13:54 23/10/2025,38.9,58.1,4.65,"Bình thường","An toàn"
15:13:59 23/10/2025,46.2,30.2,47.35,"Bình thường","An toàn"
15:14:04 23/10/2025,51.1,17.5,26.39,"Bình thường","An toàn"
15:14:09 23/10/2025,52.3,59.3,6.60,"Bình thường","An toàn"
15:14:14 23/10/2025,10.3,11.4,42.52,"Bình thường","An toàn"
15:14:19 23/10/2025,29.2,81.4,0.25,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:24 23/10/2025,20.3,44.7,43.66,"Bình thường","An toàn"
15:14:29 23/10/2025,21.3,85.9,47.55,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:34 23/10/2025,45.7,83.2,37.17,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:39 23/10/2025,79.5,76.4,43.47,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:45 23/10/2025,74.4,78.6,14.42,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:50 23/10/2025,79.4,12.2,2.95,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:14:55 23/10/2025,8.2,2.1,10.19,"Bình thường","An toàn"
15:15:00 23/10/2025,30.7,15.7,34.41,"Bình thường","An toàn"
15:15:05 23/10/2025,58.6,90.9,21.94,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:15:10 23/10/2025,14.1,38.1,11.65,"Bình thường","An toàn"
15:15:15 23/10/2025,31.4,30.9,26.53,"Bình thường","An toàn"
15:15:20 23/10/2025,32.9,6.1,6.33,"Bình thường","An toàn"
15:15:25 23/10/2025,53.8,98.3,35.32,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:15:30 23/10/2025,68.4,14.0,34.76,"Bình thường","An toàn"
15:15:35 23/10/2025,89.1,62.2,21.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:15:40 23/10/2025,97.9,57.7,8.94,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:15:45 23/10/2025,61.7,93.3,32.03,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:15:50 23/10/2025,1.2,42.1,36.68,"Bình thường","An toàn"
15:15:55 23/10/2025,71.9,2.0,7.87,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:16:00 23/10/2025,69.0,72.1,37.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:16:05 23/10/2025,48.9,61.1,17.46,"Bình thường","An toàn"
15:16:10 23/10/2025,63.4,53.1,1.09,"Bình thường","An toàn"
15:16:15 23/10/2025,85.6,7.7,23.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:16:20 23/10/2025,10.1,87.6,0.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:16:25 23/10/2025,63.2,42.6,15.28,"Bình thường","An toàn"
15:16:30 23/10/2025,57.4,23.6,20.22,"Bình thường","An toàn"
15:16:35 23/10/2025,16.6,24.6,3.52,"Bình thường","An toàn"
15:16:40 23/10/2025,35.8,11.4,40.49,"Bình thường","An toàn"
15:16:45 23/10/2025,78.7,74.9,24.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:16:50 23/10/2025,93.6,74.7,36.14,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
15:16:55 23/10/2025,20.7,49.6,15.08,"Bình thường","An toàn"
15:17:00 23/10/2025,71.7,37.1,2.80,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:17:05 23/10/2025,50.0,45.3,0.72,"Bình thường","An toàn"
15:17:10 23/10/2025,10.9,89.1,2.60,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
15:17:15 23/10/2025,32.6,37.1,11.47,"Bình thường","An toàn"
